❯ python3 testIris.py                                             ─╯
Unique values in each attr:  [32, 21, 40, 22]
# of bits needed for each attr:  [5, 5, 6, 5]
################## Print Start ##################
Attributes: ('sepal_length', 'sepal_width', 'petal_length', 'petal_width')
Target: Iris
Classes: ['Iris-setosa' 'Iris-versicolor' 'Iris-virginica']
Data size: 100
Attribute Values {'sepal_length': array([43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61,
       62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 79],
      dtype=int32), 'sepal_width': array([20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
       38, 39, 40, 41], dtype=int32), 'petal_length': array([10, 11, 12, 13, 14, 15, 16, 17, 19, 30, 33, 35, 37, 38, 39, 40, 41,
       42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60,
       61, 63, 64, 66, 67, 69], dtype=int32), 'petal_width': array([ 1,  2,  3,  4,  5,  6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
       21, 22, 23, 24, 25], dtype=int32)}
Individual Length: 44
Target encoding:  {'00': 'Iris-setosa', '01': 'Iris-versicolor', '10': 'Iris-virginica'}
################## Print End ##################

Generation: 139 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 140 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 141 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 142 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 143 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 144 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 145 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 146 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 147 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 148 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 149 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Total time: 1219.1677961349487 seconds

##############################

Best Hypothesis contains following 5 disjuntive rules:
Learned Rule 1
If ( 4.3 < sepal_length <= 6.7 ) AND ( 2.3 < sepal_width <= 4.0 ) AND ( 1.0 < petal_length <= 6.3 ) AND ( 0.1 < petal_width <= 2.5 )  THEN target = Iris-setosa
Learned Rule 2
